0.699847036	0.699847036	0.699847036
0.614005463	0.614005463	0.614005463
0.585147817	0.585147817	0.585147817
0.544335966	0.544335966	0.544335966
0.499304898	0.499304898	0.499304898
0.476435763	0.476435763	0.476435763
0.470446171	0.470446171	0.470446171
0.406770724	0.406770724	0.406770724
0.361733207	0.361733207	0.361733207
0.269194276	0.269194276	0.269194276
0.186468461	0.186468461	0.186468461
0.170292332	0.170292332	0.170292332
0.008086239	0.008086239	0.008086239
-0.008083585	-0.008083585	-0.008083585
-0.170270009	-0.170270009	-0.170270009
-0.186465854	-0.186465854	-0.186465854
-0.269143566	-0.269143566	-0.269143566
-0.361740056	-0.361740056	-0.361740056
-0.4067683	-0.4067683	-0.4067683
-0.470443829	-0.470443829	-0.470443829
-0.47643343	-0.47643343	-0.47643343
-0.499302599	-0.499302599	-0.499302599
-0.5442574	-0.5442574	-0.5442574
-0.585148908	-0.585148908	-0.585148908
-0.614004158	-0.614004158	-0.614004158
-0.699847284	-0.699847284	-0.699847284
-0.96763992	-0.96763992	-0.96763992
-0.983828892	-0.983828892	-0.983828892
-1	-1	-1
